ID,Time,Frame,HFA,HRA,HAA,KFA,ITR,KVA,ADF,FPA,TFA
132,0,1,28.82460129,-16.91631687,-29.2488131,-13.62305407,-11.43757832,8.681347951,30.91257269,-8.285052238,-25.8794754
132,0.005,2,29.26008069,-16.19760429,-29.87744973,-14.86614951,-12.76089309,9.154237387,30.41270039,-7.985361763,-25.61744756
132,0.01,3,29.35705123,-15.65744602,-30.75422502,-15.83656651,-13.44950463,9.695141663,30.02959615,-7.838505067,-25.32152703
132,0.015,4,29.71217582,-14.85224434,-31.41857963,-17.04686508,-14.57655633,10.22464381,28.44963769,-7.664695796,-25.08518747
132,0.02,5,30.20298436,-14.15272326,-32.00124572,-18.18091917,-15.3354152,10.83049223,27.08807918,-7.72392664,-24.78252939
132,0.025,6,30.78473694,-13.33542492,-32.75814583,-19.6067573,-15.87120047,11.34846704,25.57389576,-8.204935958,-24.48287724
132,0.03,7,31.26047783,-12.69932408,-33.25831953,-20.27888241,-16.0172152,11.7470628,23.31255646,-8.843482551,-24.28059905
132,0.035,8,32.47145443,-12.39536502,-33.80521224,-22.30469394,-15.19471093,12.08411562,21.4641528,-9.545115174,-24.00310915
132,0.04,9,33.61483049,-11.97218257,-34.35901438,-23.73936794,-14.04337462,12.45341183,18.84849579,-10.44046961,-23.81008966
132,0.045,10,34.84817294,-11.66891554,-34.62403874,-25.77434465,-12.62298478,12.61617971,17.27214792,-11.76351566,-23.67400131
132,0.05,11,36.102557,-11.49550707,-35.01379065,-28.35830575,-10.79207487,12.71854313,15.48764657,-12.93961539,-23.53126785
132,0.055,12,37.34987959,-10.84058356,-35.284317,-30.26763538,-9.001298954,12.76595377,13.4691492,-14.29846058,-23.54357797
132,0.06,13,39.05389227,-10.35137786,-35.47266157,-32.46228086,-6.822837891,12.78427073,12.09445669,-15.08143926,-23.59477013
132,0.065,14,40.56510029,-9.807856843,-35.50793779,-34.85145736,-5.168491026,12.77567611,10.6609955,-16.59434082,-23.67862141
132,0.07,15,41.82622174,-9.065324287,-35.64313594,-37.78889858,-3.587115709,12.89607678,9.090501347,-17.72378538,-23.87398918
132,0.075,16,43.23712346,-8.243776498,-35.56375071,-39.88800208,-2.286302743,13.01407422,7.694188183,-18.91013698,-24.1694669
132,0.08,17,44.31811677,-7.63960757,-35.57127488,-42.22691764,-1.231885216,13.15819049,5.84274733,-19.96555458,-24.36213398
132,0.085,18,45.26017634,-7.015207823,-35.49784284,-43.85631437,-0.316556646,13.21691342,4.809507116,-21.20819835,-24.62169666
132,0.09,19,46.15562196,-6.595666793,-35.50731054,-45.83591607,0.143722138,13.21930367,3.29610253,-21.69645372,-24.76297921
132,0.095,20,47.5013338,-6.133050712,-35.48284029,-48.31513773,0.982848844,13.18304612,1.916427537,-22.34830803,-24.95428863
132,0.1,21,48.31634524,-5.779445798,-35.35884022,-50.09655164,1.78940148,13.09355111,0.471570887,-23.0445261,-25.05635398
